taxon,Accession	
Hepacivirus hominis_KJ678796,KJ678796	
Hepacivirus hominis_KJ678797,KJ678797	
Hepacivirus hominis_KJ678798,KJ678798	
Hepacivirus hominis_KJ678799,KJ678799	
Hepacivirus hominis_KJ678800,KJ678800	
Hepacivirus hominis_KJ678801,KJ678801	
Hepacivirus hominis_KJ678802,KJ678802	
Hepacivirus hominis_KJ678803,KJ678803	
Hepacivirus hominis_KJ678804,KJ678804	
Hepacivirus hominis_KJ678805,KJ678805	
Hepacivirus hominis_KJ678806,KJ678806	
Hepacivirus hominis_KJ678807,KJ678807	
Hepacivirus hominis_KJ678808,KJ678808	
Hepacivirus hominis_KJ678809,KJ678809	
Hepacivirus hominis_KJ678810,KJ678810	
Hepacivirus hominis_KJ678811,KJ678811	
Hepacivirus hominis_KJ678812,KJ678812	
Hepacivirus hominis_KJ678813,KJ678813	
Hepacivirus hominis_KJ678814,KJ678814	
Hepacivirus hominis_KJ678815,KJ678815	
Hepacivirus hominis_KJ678816,KJ678816	
Hepacivirus hominis_KJ678817,KJ678817	
Hepacivirus hominis_KM504109,KM504109	
Hepacivirus hominis_KM504110,KM504110	
Hepacivirus hominis_KM504111,KM504111	
Hepacivirus hominis_KM504112,KM504112	
Hepacivirus hominis_KM504113,KM504113	
Hepacivirus hominis_KM504114,KM504114	
Hepacivirus hominis_KM504115,KM504115	
Hepacivirus hominis_KM504116,KM504116	
Hepacivirus hominis_KM504117,KM504117	
Hepacivirus hominis_KM504118,KM504118	
Hepacivirus hominis_KM504119,KM504119	
Hepacivirus hominis_KM504120,KM504120	
Hepacivirus hominis_KM504121,KM504121	
Hepacivirus hominis_KM504122,KM504122	
Hepacivirus hominis_KM504123,KM504123	
Hepacivirus hominis_KM504124,KM504124	
Hepacivirus hominis_KT983617,KT983617	
Hepatitis C virus subtype 1b_LC011927,LC011927	
Hepatitis C virus subtype 1b_LC011928,LC011928	
Hepatitis C virus subtype 1b_LC011929,LC011929	
Hepatitis C virus subtype 1b_LC011930,LC011930	
Hepatitis C virus subtype 1b_LC011931,LC011931	
Hepacivirus hominis_KM349851,KM349851	
Hepacivirus hominis_KJ567644,KJ567644	
Hepacivirus hominis_KJ567645,KJ567645	
Hepacivirus hominis_KJ567646,KJ567646	
Hepacivirus hominis_KJ567647,KJ567647	
Hepacivirus hominis_KJ567648,KJ567648	
Hepacivirus hominis_KJ567649,KJ567649	
Hepacivirus hominis_KJ567650,KJ567650	
Hepacivirus hominis_KJ567651,KJ567651	
Hepacivirus hominis_KJ567652,KJ567652	
Hepacivirus hominis_KJ470612,KJ470612	
Hepacivirus hominis_KJ470613,KJ470613	
Hepacivirus hominis_KJ470614,KJ470614	
Hepacivirus hominis_KJ470615,KJ470615	
Hepacivirus hominis_KJ470616,KJ470616	
Hepacivirus hominis_KJ470617,KJ470617	
Hepacivirus hominis_KJ470618,KJ470618	
Hepacivirus hominis_KJ470619,KJ470619	
Hepacivirus hominis_KJ470620,KJ470620	
Hepacivirus hominis_KJ470621,KJ470621	
Hepacivirus hominis_KJ470622,KJ470622	
Hepacivirus hominis_KJ470623,KJ470623	
Hepacivirus hominis_KJ470624,KJ470624	
Hepacivirus hominis_KJ470625,KJ470625	
Hepacivirus hominis_KJ925146,KJ925146	
Hepacivirus hominis_KJ925147,KJ925147	
Hepacivirus hominis_KJ925148,KJ925148	
Hepacivirus hominis_KJ925149,KJ925149	
Hepatitis C virus subtype 1b_AB828699,AB828699	
Hepatitis C virus subtype 1b_AB828700,AB828700	
Hepatitis C virus subtype 1b_AB828701,AB828701	
Hepacivirus hominis_KJ439767,KJ439767	
Hepacivirus hominis_KJ439768,KJ439768	
Hepacivirus hominis_KJ439769,KJ439769	
Hepacivirus hominis_KJ439770,KJ439770	
Hepacivirus hominis_KJ439771,KJ439771	
Hepacivirus hominis_KJ439772,KJ439772	
Hepacivirus hominis_KJ439773,KJ439773	
Hepacivirus hominis_KJ439774,KJ439774	
Hepacivirus hominis_KJ439775,KJ439775	
Hepacivirus hominis_KJ439776,KJ439776	
Hepacivirus hominis_KJ439777,KJ439777	
Hepacivirus hominis_KJ439778,KJ439778	
Hepacivirus hominis_KJ439779,KJ439779	
Hepacivirus hominis_KJ439780,KJ439780	
Hepacivirus hominis_KJ439781,KJ439781	
Hepacivirus hominis_KJ439782,KJ439782	
Hepacivirus hominis_JF735127,JF735127	
Hepacivirus hominis_JF735128,JF735128	
Hepacivirus hominis_JF735129,JF735129	
Hepacivirus hominis_JF735130,JF735130	
Hepacivirus hominis_JF735131,JF735131	
Hepacivirus hominis_JF735132,JF735132	
Hepacivirus hominis_JF735133,JF735133	
Hepacivirus hominis_JF735134,JF735134	
Hepacivirus hominis_JF735135,JF735135	
Hepacivirus hominis_JF735136,JF735136	
Hepacivirus hominis_JF735137,JF735137	
Hepacivirus hominis_JF735138,JF735138	
Hepacivirus C_KF268446,KF268446	
Hepacivirus hominis_KF700370,KF700370	
Hepatitis C virus subtype 2a_KF676351,KF676351	
Hepatitis C virus subtype 2a_KF676352,KF676352	
Hepatitis C virus subtype 3a_AB792683,AB792683	
Hepacivirus hominis_KC248193,KC248193	
Hepacivirus hominis_KC248194,KC248194	
Hepacivirus hominis_KC248195,KC248195	
Hepacivirus hominis_KC248196,KC248196	
Hepacivirus hominis_KC248197,KC248197	
Hepacivirus hominis_KC248198,KC248198	
Hepacivirus hominis_KC248199,KC248199	
Hepacivirus hominis_KC967476,KC967476	
Hepacivirus hominis_KC967477,KC967477	
Hepacivirus hominis_KC967478,KC967478	
Hepacivirus hominis_KC967479,KC967479	
Hepacivirus hominis_JF735126,JF735126	
Hepacivirus hominis_JF735121,JF735121	
Hepacivirus hominis_JF735122,JF735122	
Hepacivirus hominis_JF735123,JF735123	
Hepacivirus hominis_JF735124,JF735124	
Hepacivirus hominis_JF735125,JF735125	
Hepatitis C virus subtype 4a_AB795432,AB795432	
Hepatitis C virus subtype 1b_AB779562,AB779562	
Hepatitis C virus subtype 1b_AB779679,AB779679	
Hepacivirus hominis_KC155254,KC155254	
Hepatitis C virus subtype 2c_JX227951,JX227951	
Hepatitis C virus subtype 2k/1b_JX227952,JX227952	
Hepatitis C virus subtype 2k_JX227953,JX227953	
Hepatitis C virus subtype 3g_JX227954,JX227954	
Hepatitis C virus subtype 3i_JX227955,JX227955	
Hepatitis C virus subtype 4L_JX227957,JX227957	
Hepatitis C virus subtype 4L_JX227958,JX227958	
Hepatitis C virus subtype 4v_JX227959,JX227959	
Hepatitis C virus subtype 4v_JX227960,JX227960	
Hepatitis C virus subtype 4m_JX227961,JX227961	
Hepatitis C virus subtype 4r_JX227962,JX227962	
Hepatitis C virus subtype 4g_JX227963,JX227963	
Hepatitis C virus genotype 4_JX227964,JX227964	
Hepatitis C virus subtype 2c_JX227965,JX227965	
Hepatitis C virus subtype 2c_JX227966,JX227966	
Hepatitis C virus subtype 2m_JX227967,JX227967	
Hepatitis C virus subtype 2m_JX227968,JX227968	
Hepatitis C virus subtype 4n_JX227970,JX227970	
Hepatitis C virus subtype 4g_JX227971,JX227971	
Hepatitis C virus subtype 4m_JX227972,JX227972	
Hepatitis C virus subtype 4r_JX227976,JX227976	
Hepatitis C virus subtype 4o_JX227977,JX227977	
Hepatitis C virus subtype 4o_JX227978,JX227978	
Hepatitis C virus subtype 4o_JX227979,JX227979	
Hepacivirus hominis_JX183549,JX183549	
