taxon,Accession
Human betaherpesvirus 5_JX512202,JX512202
Human betaherpesvirus 5_KY490086,KY490086
Human betaherpesvirus 5_KM192301,KM192301
Human betaherpesvirus 5_KY490067,KY490067
Human betaherpesvirus 5_JX512199,JX512199
Human betaherpesvirus 5_KP745707,KP745707
Human betaherpesvirus 5_KY490084,KY490084
Human betaherpesvirus 5_MW528463,MW528463
Human betaherpesvirus 5_KP745642,KP745642
Human betaherpesvirus 5_KP745639,KP745639
Human betaherpesvirus 5_KJ361957,KJ361957
Human betaherpesvirus 5_KY490082,KY490082
Human betaherpesvirus 5_KC519321,KC519321
Human betaherpesvirus 5_KU550087,KU550087
Human betaherpesvirus 5_KP973629,KP973629
Human betaherpesvirus 5_MW197157,MW197157
Human betaherpesvirus 5_MF084224,MF084224
Cytomegalovirus humanbeta5_OR546127,OR546127
Human betaherpesvirus 5_KP973628,KP973628
Human betaherpesvirus 5_KP745681,KP745681
Human betaherpesvirus 5_KP745660,KP745660
Human betaherpesvirus 5_KP745648,KP745648
Human betaherpesvirus 5_JX512204,JX512204
Human betaherpesvirus 5_KP973625,KP973625
Human betaherpesvirus 5_KR534207,KR534207
Human betaherpesvirus 5_KP973630,KP973630
Human betaherpesvirus 5_KX544831,KX544831
Human betaherpesvirus 5_KP745717,KP745717
Human betaherpesvirus 5_KP745691,KP745691
Human betaherpesvirus 5_KJ361963,KJ361963
Human betaherpesvirus 5_KT726947,KT726947
Human betaherpesvirus 5_FJ616285,FJ616285
Human betaherpesvirus 5_KP745699,KP745699
Human betaherpesvirus 5_KY490083,KY490083
Human betaherpesvirus 5_GQ221974,GQ221974
Human betaherpesvirus 5_KP745656,KP745656
Human betaherpesvirus 5_KR534212,KR534212
Human betaherpesvirus 5_KP745695,KP745695
Human betaherpesvirus 5_MF084223,MF084223
Human betaherpesvirus 5_KY490077,KY490077
Human betaherpesvirus 5_KP745635,KP745635
Human betaherpesvirus 5_MW980585,MW980585
Human betaherpesvirus 5_KP973623,KP973623
Human betaherpesvirus 5_KJ361971,KJ361971
Human betaherpesvirus 5_KP745664,KP745664
Human betaherpesvirus 5_KP745694,KP745694
