STRAIN,CODE,ACCESSIONS
rsv_5,RSV05,MZ221196
rsv_6,RSV06,MZ221195
rsv_7,RSV07,MZ221205
rsv_8,RSV08,ON237240
rsv_9,RSV09,ON237224
rsv_10,RSV10,MG813985
rsv_11,RSV11,MG813984
rsv_12,RSV12,ON237242
